"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","MM.LRA1"
"262","California","G0501370","71","6","1050","Trinity",NA,"1"
"263","California","G0501390","71","6","1070","Tulare",NA,"1"
"264","California","G0501410","71","6","1090","Tuolumne",NA,"1"
"265","California","G0501430","71","6","1110","Ventura",NA,"1"
"266","California","G0501450","71","6","1130","Yolo",NA,"1"
"267","California","G0501470","71","6","1150","Yuba",NA,"1"
"268","Colorado","G0501490","62","8","10","Adams",NA,"1"
"269","Colorado","G0600010","62","8","30","Alamosa",NA,"1"
"270","Colorado","G0600030","62","8","50","Arapahoe",NA,"1"
"271","Colorado","G0600050","62","8","70","Archuleta",NA,"1"
"272","Colorado","G0600070","62","8","90","Baca",NA,"1"
"273","Colorado","G0600090","62","8","110","Bent",NA,"1"
"274","Colorado","G0600110","62","8","130","Boulder",NA,"1"
"275","Colorado","G0600130",NA,"8","14","Broomfield County",NA,"1"
"276","Colorado","G0600150","62","8","150","Chaffee",NA,"1"
"277","Colorado","G0600170","62","8","170","Cheyenne",NA,"1"
"278","Colorado","G0600190","62","8","190","Clear Creek",NA,"1"
"279","Colorado","G0600210","62","8","210","Conejos",NA,"1"
"280","Colorado","G0600230","62","8","230","Costilla",NA,"1"
"281","Colorado","G0600250","62","8","250","Crowley",NA,"1"
"282","Colorado","G0600270","62","8","270","Custer",NA,"1"
"283","Colorado","G0600290","62","8","290","Delta",NA,"1"
"284","Colorado","G0600310","62","8","310","Denver",NA,"0"
"285","Colorado","G0600330","62","8","330","Dolores",NA,"1"
"286","Colorado","G0600350","62","8","350","Douglas",NA,"1"
"287","Colorado","G0600370","62","8","370","Eagle",NA,"1"
"288","Colorado","G0600410","62","8","410","El Paso",NA,"0"
"289","Colorado","G0600390","62","8","390","Elbert",NA,"1"
"290","Colorado","G0600430","62","8","430","Fremont",NA,"1"
"291","Colorado","G0600450","62","8","450","Garfield",NA,"1"
"292","Colorado","G0600470","62","8","470","Gilpin",NA,"1"
"293","Colorado","G0600490","62","8","490","Grand",NA,"1"
"294","Colorado","G0600510","62","8","510","Gunnison",NA,"1"
"295","Colorado","G0600530","62","8","530","Hinsdale",NA,"1"
"296","Colorado","G0600550","62","8","550","Huerfano",NA,"1"
"297","Colorado","G0600570","62","8","570","Jackson",NA,"1"
"298","Colorado","G0600590","62","8","590","Jefferson",NA,"1"
"299","Colorado","G0600610","62","8","610","Kiowa",NA,"1"
"300","Colorado","G0600630","62","8","630","Kit Carson",NA,"1"
"301","Colorado","G0600670","62","8","670","La Plata",NA,"1"
"302","Colorado","G0600650","62","8","650","Lake",NA,"1"
"303","Colorado","G0600690","62","8","690","Larimer",NA,"1"
"304","Colorado","G0600710","62","8","710","Las Animas",NA,"1"
"305","Colorado","G0600730","62","8","730","Lincoln",NA,"1"
"306","Colorado","G0600750","62","8","750","Logan",NA,"1"
"307","Colorado","G0600770","62","8","770","Mesa",NA,"1"
"308","Colorado","G0600790","62","8","790","Mineral",NA,"1"
"309","Colorado","G0600810","62","8","810","Moffat",NA,"1"
"310","Colorado","G0600830","62","8","830","Montezuma",NA,"1"
"311","Colorado","G0600850","62","8","850","Montrose",NA,"1"
"312","Colorado","G0600870","62","8","870","Morgan",NA,"1"
"313","Colorado","G0600890","62","8","890","Otero",NA,"1"
"314","Colorado","G0600910","62","8","910","Ouray",NA,"1"
"315","Colorado","G0600930","62","8","930","Park",NA,"1"
"316","Colorado","G0600950","62","8","950","Phillips",NA,"1"
"317","Colorado","G0600970","62","8","970","Pitkin",NA,"1"
"318","Colorado","G0600990","62","8","990","Prowers",NA,"1"
"319","Colorado","G0601010","62","8","1010","Pueblo",NA,"1"
"320","Colorado","G0601050","62","8","1030","Rio Blanco",NA,"1"
"321","Colorado","G0601070","62","8","1050","Rio Grande",NA,"1"
"322","Colorado","G0601030",NA,"8","1070","Routt County",NA,"1"
"323","Colorado","G0601110","62","8","1090","Saguache",NA,"1"
"324","Colorado","G0601130","62","8","1110","San Juan",NA,"1"
"325","Colorado","G0601150","62","8","1130","San Miguel",NA,"1"
"326","Colorado","G0800010","62","8","1150","Sedgwick",NA,"1"
"327","Colorado","G0800030","62","8","1170","Summit",NA,"1"
"328","Colorado","G0800050","62","8","1190","Teller",NA,"1"
"329","Colorado","G0800070","62","8","1210","Washington",NA,"1"
"330","Colorado","G0800090","62","8","1230","Weld",NA,"1"
"331","Colorado","G0800110","62","8","1250","Yuma",NA,"1"
"332","Connecticut","G0800130","1","9","10","Fairfield",NA,"1"
"333","Connecticut","G0800140","1","9","30","Hartford",NA,"0"
"334","Connecticut","G0800150","1","9","50","Litchfield",NA,"1"
"335","Connecticut","G0800170","1","9","70","Middlesex",NA,"1"
"336","Connecticut","G0800190","1","9","90","New Haven",NA,"1"
"337","Connecticut","G0800210","1","9","110","New London",NA,"1"
"338","Connecticut","G0800230","1","9","130","Tolland",NA,"1"
"339","Connecticut","G0800250","1","9","150","Windham",NA,"1"
"340","Delaware","G0800270","11","10","10","Kent",NA,"1"
"341","Delaware","G0800290","11","10","30","New Castle",NA,"0"
"342","Delaware","G0800310","11","10","50","Sussex",NA,"1"
"343","District Of Columbia","G0800330","98","11","10","District Of Columbia",NA,"0"
"344","Florida","G0800350","43","12","10","Alachua",NA,"0"
"345","Florida","G0800370","43","12","30","Baker",NA,"1"
"346","Florida","G0800390","43","12","50","Bay",NA,"1"
"347","Florida","G0800410","43","12","70","Bradford",NA,"1"
"348","Florida","G0800430","43","12","90","Brevard",NA,"1"
"349","Florida","G0800450","43","12","110","Broward",NA,"1"
"350","Florida","G0800470","43","12","130","Calhoun",NA,"1"
"351","Florida","G0800490","43","12","150","Charlotte",NA,"1"
"352","Florida","G0800510","43","12","170","Citrus",NA,"1"
"353","Florida","G0800530","43","12","190","Clay",NA,"1"
"354","Florida","G0800550","43","12","210","Collier",NA,"1"
"355","Florida","G0800570","43","12","230","Columbia",NA,"1"
"356","Florida","G0800590","43","12","250","Dade",NA,"0"
"357","Florida","G0800610","43","12","270","DeSoto",NA,"1"
"358","Florida","G0800630","43","12","290","Dixie",NA,"1"
