"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","black_population","total_population","cty_percentage"
"262","California","G0501370","71","6","1050","Trinity",NA,34520,661790,0.052161561824748
"263","California","G0501390","71","6","1070","Tulare",NA,241028,10982490,0.021946571314884
"264","California","G0501410","71","6","1090","Tuolumne",NA,27148,1301630,0.0208569255471985
"265","California","G0501430","71","6","1110","Ventura",NA,459402,20168938,0.0227776990538619
"266","California","G0501450","71","6","1130","Yolo",NA,148752,5096122,0.0291892541034143
"267","California","G0501470","71","6","1150","Yuba",NA,74404,1811330,0.041076998669486
"268","Colorado","G0501490","62","8","10","Adams",NA,995836,19994978,0.0498043058612017
"269","Colorado","G0600010","62","8","30","Alamosa",NA,6696,382800,0.0174921630094044
"270","Colorado","G0600030","62","8","50","Arapahoe",NA,1678174,15054256,0.111475053964806
"271","Colorado","G0600050","62","8","70","Archuleta",NA,1910,310416,0.00615303334879645
"272","Colorado","G0600070","62","8","90","Baca",NA,802,87074,0.009210556538117
"273","Colorado","G0600090","62","8","110","Bent",NA,10482,140106,0.0748147830928012
"274","Colorado","G0600110","62","8","130","Boulder",NA,83192,7581534,0.0109729772365329
"275","Colorado","G0600130",NA,"8","14","Broomfield County",NA,NA,NA,NA
"276","Colorado","G0600150","62","8","150","Chaffee",NA,8004,459992,0.0174003026139585
"277","Colorado","G0600170","62","8","170","Cheyenne",NA,1694,341326,0.00496299725189408
"278","Colorado","G0600190","62","8","190","Clear Creek",NA,1982,223536,0.00886658077446138
"279","Colorado","G0600210","62","8","210","Conejos",NA,1636,196320,0.00833333333333333
"280","Colorado","G0600230","62","8","230","Costilla",NA,1802,88854,0.0202804600805816
"281","Colorado","G0600250","62","8","250","Crowley",NA,13670,136496,0.100149454929082
"282","Colorado","G0600270","62","8","270","Custer",NA,27756,1651166,0.0168099391581464
"283","Colorado","G0600290","62","8","290","Delta",NA,17248,1730710,0.00996585216471853
"284","Colorado","G0600310","62","8","310","Denver",NA,1653108,16334642,0.101202585278575
"285","Colorado","G0600330","62","8","330","Dolores",NA,152,48984,0.00310305405846807
"286","Colorado","G0600350","62","8","350","Douglas",NA,3364802,34766672,0.0967824012606096
"287","Colorado","G0600370","62","8","370","Eagle",NA,16602,1292528,0.0128445960164886
"288","Colorado","G0600410","62","8","410","El Paso",NA,1894422,36317104,0.0521633553159966
"289","Colorado","G0600390","62","8","390","Elbert",NA,142752,1065948,0.133920228754123
"290","Colorado","G0600430","62","8","430","Fremont",NA,53658,2578056,0.0208133570411194
"291","Colorado","G0600450","62","8","450","Garfield",NA,64414,3131352,0.0205706672389434
"292","Colorado","G0600470","62","8","470","Gilpin",NA,1518,140440,0.0108088863571632
"293","Colorado","G0600490","62","8","490","Grand",NA,4520,590562,0.0076537264503981
"294","Colorado","G0600510","62","8","510","Gunnison",NA,2152,393230,0.00547262416397528
"295","Colorado","G0600530","62","8","530","Hinsdale",NA,152,19126,0.0079472968733661
"296","Colorado","G0600550","62","8","550","Huerfano",NA,1702,159578,0.0106656306007094
"297","Colorado","G0600570","62","8","570","Jackson",NA,5952394,41466070,0.14354854462938
"298","Colorado","G0600590","62","8","590","Jefferson",NA,15107612,76885430,0.19649512267799
"299","Colorado","G0600610","62","8","610","Kiowa",NA,10610,311570,0.0340533427480181
"300","Colorado","G0600630","62","8","630","Kit Carson",NA,3450,184822,0.0186666089534796
"301","Colorado","G0600670","62","8","670","La Plata",NA,7512,1310364,0.00573275822595859
"302","Colorado","G0600650","62","8","650","Lake",NA,5438506,45738584,0.118904118238553
"303","Colorado","G0600690","62","8","690","Larimer",NA,86644,8007002,0.0108210288944601
"304","Colorado","G0600710","62","8","710","Las Animas",NA,6578,348020,0.01890121257399
"305","Colorado","G0600730","62","8","730","Lincoln",NA,699984,14445444,0.048457077539465
"306","Colorado","G0600750","62","8","750","Logan",NA,260124,5546610,0.0468978348937459
"307","Colorado","G0600770","62","8","770","Mesa",NA,31570,3607322,0.00875164457179037
"308","Colorado","G0600790","62","8","790","Mineral",NA,24166,887286,0.0272358630700811
"309","Colorado","G0600810","62","8","810","Moffat",NA,1932,316622,0.00610191332251075
"310","Colorado","G0600830","62","8","830","Montezuma",NA,2542,622370,0.00408438710092067
"311","Colorado","G0600850","62","8","850","Montrose",NA,6808,998486,0.00681832294093257
"312","Colorado","G0600870","62","8","870","Morgan",NA,602266,8869524,0.0679028547642467
"313","Colorado","G0600890","62","8","890","Otero",NA,71226,2031436,0.0350618971013608
"314","Colorado","G0600910","62","8","910","Ouray",NA,146,113148,0.00129034538834093
"315","Colorado","G0600930","62","8","930","Park",NA,8774,1500514,0.00584732964837382
"316","Colorado","G0600950","62","8","950","Phillips",NA,292716,796764,0.367381056373029
"317","Colorado","G0600970","62","8","970","Pitkin",NA,3868,425178,0.00909736627953469
"318","Colorado","G0600990","62","8","990","Prowers",NA,2262,292112,0.00774360519252889
"319","Colorado","G0601010","62","8","1010","Pueblo",NA,98122,3945226,0.0248710720247712
"320","Colorado","G0601050","62","8","1030","Rio Blanco",NA,1634,156220,0.010459608244783
"321","Colorado","G0601070","62","8","1050","Rio Grande",NA,2234,276236,0.00808728768154766
"322","Colorado","G0601030",NA,"8","1070","Routt County",NA,NA,NA,NA
"323","Colorado","G0601110","62","8","1090","Saguache",NA,1482,155768,0.00951414924759899
"324","Colorado","G0601130","62","8","1110","San Juan",NA,26426,3832560,0.00689513014799507
"325","Colorado","G0601150","62","8","1130","San Miguel",NA,15280,865272,0.0176591869377491
"326","Colorado","G0800010","62","8","1150","Sedgwick",NA,1149026,12311160,0.0933320661903509
"327","Colorado","G0800030","62","8","1170","Summit",NA,1950604,14661722,0.133040580090115
"328","Colorado","G0800050","62","8","1190","Teller",NA,4468,581850,0.00767895505714531
"329","Colorado","G0800070","62","8","1210","Washington",NA,3336744,61811224,0.0539828171013083
"330","Colorado","G0800090","62","8","1230","Weld",NA,104130,7039842,0.0147915251507065
"331","Colorado","G0800110","62","8","1250","Yuma",NA,132312,5223498,0.0253301523232133
"332","Connecticut","G0800130","1","9","10","Fairfield",NA,3402480,26767670,0.127111549118769
"333","Connecticut","G0800140","1","9","30","Hartford",NA,3304726,21466174,0.153950396563449
"334","Connecticut","G0800150","1","9","50","Litchfield",NA,88110,4416798,0.0199488407665463
"335","Connecticut","G0800170","1","9","70","Middlesex",NA,4649210,61800822,0.0752289346572122
"336","Connecticut","G0800190","1","9","90","New Haven",NA,3002056,20620806,0.145583834113953
"337","Connecticut","G0800210","1","9","110","New London",NA,439198,6470902,0.067872763333458
"338","Connecticut","G0800230","1","9","130","Tolland",NA,133442,3638386,0.036676152557755
"339","Connecticut","G0800250","1","9","150","Windham",NA,97702,3849258,0.0253820346674606
"340","Delaware","G0800270","11","10","10","Kent",NA,2842286,23900526,0.118921483150622
"341","Delaware","G0800290","11","10","30","New Castle",NA,3386612,13265152,0.255301409286528
"342","Delaware","G0800310","11","10","50","Sussex",NA,899098,8970248,0.100231119585545
"343","District Of Columbia","G0800330","98","11","10","District Of Columbia",NA,NA,NA,NA
"344","Florida","G0800350","43","12","10","Alachua",NA,1292346,6256054,0.206575262937308
"345","Florida","G0800370","43","12","30","Baker",NA,128874,1133664,0.113679185367093
"346","Florida","G0800390","43","12","50","Bay",NA,525292,6756522,0.0777459172041473
"347","Florida","G0800410","43","12","70","Bradford",NA,142250,2140458,0.0664577394183862
"348","Florida","G0800430","43","12","90","Brevard",NA,1466444,13770048,0.10649519885479
"349","Florida","G0800450","43","12","110","Broward",NA,13276120,45216448,0.293612625211074
"350","Florida","G0800470","43","12","130","Calhoun",NA,1377512,8375494,0.164469343539617
"351","Florida","G0800490","43","12","150","Charlotte",NA,337392,4514574,0.0747339616096668
"352","Florida","G0800510","43","12","170","Citrus",NA,105278,3461002,0.0304183586140661
"353","Florida","G0800530","43","12","190","Clay",NA,1402206,16836214,0.0832851138622971
"354","Florida","G0800550","43","12","210","Collier",NA,622468,8627446,0.0721497416500781
"355","Florida","G0800570","43","12","230","Columbia",NA,1253102,11455794,0.109385870590899
"356","Florida","G0800590","43","12","250","Dade",NA,NA,NA,NA
"357","Florida","G0800610","43","12","270","DeSoto",NA,1234602,5080442,0.243010745915414
"358","Florida","G0800630","43","12","290","Dixie",NA,36520,396348,0.0921412496089295
"359","Florida","G0800650","43","12","310","Duval",NA,6718450,22316570,0.301052088201726
"360","Florida","G0800670","43","12","330","Escambia",NA,2011510,8358230,0.240662197618395
"361","Florida","G0800690","43","12","350","Flagler",NA,285134,2560860,0.11134306443929
"362","Florida","G0800710","43","12","370","Franklin",NA,8205618,53658684,0.152922460789385
"363","Florida","G0800730","43","12","390","Gadsden",NA,619946,1108690,0.559169831061884
"364","Florida","G0800750","43","12","410","Gilchrist",NA,23716,424672,0.0558454524903926
"365","Florida","G0800770","43","12","430","Glades",NA,43210,320380,0.134871090579936
"366","Florida","G0800790","43","12","450","Gulf",NA,61590,368200,0.167273221075502
"367","Florida","G0800810","43","12","470","Hamilton",NA,7236688,37006032,0.195554281529022
"368","Florida","G0800830","43","12","490","Hardee",NA,48544,653114,0.0743269934498418
"369","Florida","G0800850","43","12","510","Hendry",NA,123034,962740,0.127795666535098
"370","Florida","G0800870","43","12","530","Hernando",NA,253208,4394184,0.0576234404385433
"371","Florida","G0800890","43","12","550","Highlands",NA,253826,2443550,0.103875918233717
"372","Florida","G0800910","43","12","570","Hillsborough",NA,6143720,42893672,0.14323138387406
"373","Florida","G0800930","43","12","590","Holmes",NA,394562,1951114,0.202223960260651
"374","Florida","G0800950","43","12","610","Indian River",NA,339334,3597546,0.0943237417951014
"375","Florida","G0800970","43","12","630","Jackson",NA,5952394,41466070,0.14354854462938
"376","Florida","G0800990","43","12","650","Jefferson",NA,15107612,76885430,0.19649512267799
"377","Florida","G0801010","43","12","670","Lafayette",NA,410206,2821850,0.145367755196059
"378","Florida","G0801070","43","12","690","Lake",NA,5438506,45738584,0.118904118238553
"379","Florida","G0801030","43","12","710","Lee",NA,3977428,28438850,0.139858960541653
"380","Florida","G0801050","43","12","730","Leon",NA,2208476,7298942,0.302574811527479
"381","Florida","G0801070","43","12","750","Levy",NA,91570,972214,0.0941870822678958
"382","Florida","G0801090","43","12","770","Liberty",NA,894686,3734392,0.23958009764374
"383","Florida","G0801110","43","12","790","Madison",NA,5304308,33135078,0.160081349438803
"384","Florida","G0801130","43","12","810","Manatee",NA,817482,8839354,0.0924820976736535
"385","Florida","G0801150","43","12","830","Marion",NA,8719650,48666138,0.179172836767939
"386","Florida","G0801170","43","12","850","Martin",NA,475172,5438430,0.0873730102253776
"387","Florida","G0801190",NA,"12","86","Miami-Dade County",NA,NA,NA,NA
"388","Florida","G0801210","43","12","870","Monroe",NA,4610660,37336686,0.123488731699434
"389","Florida","G0801230","43","12","890","Nassau",NA,4212508,34405614,0.122436646530999
"390","Florida","G0801250","43","12","910","Okaloosa",NA,482428,4779860,0.100929315921387
"391","Florida","G0900010","43","12","930","Okeechobee",NA,84980,977476,0.086938195925015
"392","Florida","G0900030","43","12","950","Orange",NA,10403806,122757864,0.0847506274628565
"393","Florida","G0900050","43","12","970","Osceola",NA,1087752,8653314,0.125703516594914
"394","Florida","G0900070","43","12","990","Palm Beach",NA,6569872,34265834,0.191732441124883
"395","Florida","G0900090","43","12","1010","Pasco",NA,726482,12242188,0.0593424966190684
"396","Florida","G0900110","43","12","1030","Pinellas",NA,2498446,22804354,0.10956004278832
"397","Florida","G0900130","43","12","1050","Polk",NA,3647332,35410710,0.103000815290063
"398","Florida","G0900150","43","12","1070","Putnam",NA,605496,9819116,0.0616650215762804
"399","Florida","G1000050","43","12","1130","Santa Rosa",NA,260462,4085592,0.0637513486417635
"400","Florida","G1100010","43","12","1150","Sarasota",NA,473582,9842546,0.0481158025575903
"401","Florida","G1200010","43","12","1170","Seminole",NA,1444450,11629150,0.124209422012787
"402","Florida","G1000010","43","12","1090","St Johns",NA,NA,NA,NA
"403","Florida","G1000030","43","12","1110","St Lucie",NA,NA,NA,NA
"404","Florida","G1200030","43","12","1190","Sumter",NA,2063902,6453128,0.319829701192972
"405","Florida","G1200050","43","12","1210","Suwannee",NA,136996,1052906,0.130112279728675
"406","Florida","G1200070","43","12","1230","Taylor",NA,486008,5644554,0.0861021083330942
"407","Florida","G1200090","43","12","1250","Union",NA,4679118,27003340,0.17327923138397
"408","Florida","G1200110","43","12","1270","Volusia",NA,1417478,12602256,0.112478115029563
"409","Florida","G1200130","43","12","1290","Wakulla",NA,108764,770072,0.141238741312501
"410","Florida","G1200150","43","12","1310","Walton",NA,464472,3722772,0.124765094397401
"411","Florida","G1200170","43","12","1330","Washington",NA,3336744,61811224,0.0539828171013083
"412","Georgia","G1200190","44","13","10","Appling",NA,85596,441938,0.193683276839738
"413","Georgia","G1200210","44","13","30","Atkinson",NA,34534,199476,0.173123583789529
"414","Georgia","G1200230","44","13","50","Bacon",NA,43434,267424,0.162416237884408
"415","Georgia","G1200250","44","13","70","Baker",NA,128874,1133664,0.113679185367093
"416","Georgia","G1200270","44","13","90","Baldwin",NA,910598,6044606,0.150646377944237
"417","Georgia","G1200290","44","13","110","Banks",NA,11984,446570,0.0268356584633988
"418","Georgia","G1200310","44","13","130","Barrow",NA,225556,1840630,0.122542825011002
"419","Georgia","G1200330","44","13","150","Bartow",NA,272982,2491994,0.10954360243243
"420","Georgia","G1200350","44","13","170","Ben Hill",NA,147752,412530,0.358160618621676
"421","Georgia","G1200370","44","13","190","Berrien",NA,613778,4180316,0.146825742360147
"422","Georgia","G1200390","44","13","210","Bibb",NA,2139712,4241136,0.504513884959124
"423","Georgia","G1200410","44","13","230","Bleckley",NA,82410,308948,0.266743918070355
"424","Georgia","G1200430","44","13","250","Brantley",NA,15328,448882,0.0341470586924849
"425","Georgia","G1200450","44","13","270","Brooks",NA,134564,547430,0.245810423250461
"426","Georgia","G1200470","44","13","290","Bryan",NA,146818,1952284,0.0752031978953882
"427","Georgia","G1200490","44","13","310","Bulloch",NA,529896,1806354,0.293351137152518
