,STATE,GISJOIN,STATEICP,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,EPLRA2
311,Colorado,G0600870,62,8,870,Morgan,0
312,Colorado,G0600890,62,8,890,Otero,0
313,Colorado,G0600910,62,8,910,Ouray,0
314,Colorado,G0600930,62,8,930,Park,0
315,Colorado,G0600950,62,8,950,Phillips,0
316,Colorado,G0600970,62,8,970,Pitkin,0
317,Colorado,G0600990,62,8,990,Prowers,0
318,Colorado,G0601010,62,8,1010,Pueblo,0
319,Colorado,G0601050,62,8,1030,Rio Blanco,0
320,Colorado,G0601070,62,8,1050,Rio Grande,0
321,Colorado,G0601030,,8,1070,Routt County,0
322,Colorado,G0601110,62,8,1090,Saguache,0
323,Colorado,G0601130,62,8,1110,San Juan,0
324,Colorado,G0601150,62,8,1130,San Miguel,0
325,Colorado,G0800010,62,8,1150,Sedgwick,0
326,Colorado,G0800030,62,8,1170,Summit,0
327,Colorado,G0800050,62,8,1190,Teller,0
328,Colorado,G0800070,62,8,1210,Washington,0
329,Colorado,G0800090,62,8,1230,Weld,0
330,Colorado,G0800110,62,8,1250,Yuma,0
331,Connecticut,G0800130,1,9,10,Fairfield,1
332,Connecticut,G0800140,1,9,30,Hartford,1
333,Connecticut,G0800150,1,9,50,Litchfield,0
334,Connecticut,G0800170,1,9,70,Middlesex,0
335,Connecticut,G0800190,1,9,90,New Haven,1
336,Connecticut,G0800210,1,9,110,New London,0
337,Connecticut,G0800230,1,9,130,Tolland,0
338,Connecticut,G0800250,1,9,150,Windham,0
339,Delaware,G0800270,11,10,10,Kent,1
340,Delaware,G0800290,11,10,30,New Castle,1
341,Delaware,G0800310,11,10,50,Sussex,1
342,District Of Columbia,G0800330,98,11,10,District Of Columbia,1
343,Florida,G0800350,43,12,10,Alachua,1
344,Florida,G0800370,43,12,30,Baker,0
345,Florida,G0800390,43,12,50,Bay,0
346,Florida,G0800410,43,12,70,Bradford,0
347,Florida,G0800430,43,12,90,Brevard,1
348,Florida,G0800450,43,12,110,Broward,1
349,Florida,G0800470,43,12,130,Calhoun,0
350,Florida,G0800490,43,12,150,Charlotte,0
351,Florida,G0800510,43,12,170,Citrus,0
352,Florida,G0800530,43,12,190,Clay,0
353,Florida,G0800550,43,12,210,Collier,0
354,Florida,G0800570,43,12,230,Columbia,0
355,Florida,G0800590,43,12,250,Dade,1
356,Florida,G0800610,43,12,270,DeSoto,0
357,Florida,G0800630,43,12,290,Dixie,0
358,Florida,G0800650,43,12,310,Duval,1
359,Florida,G0800670,43,12,330,Escambia,1
360,Florida,G0800690,43,12,350,Flagler,0
361,Florida,G0800710,43,12,370,Franklin,0
362,Florida,G0800730,43,12,390,Gadsden,1
363,Florida,G0800750,43,12,410,Gilchrist,0
364,Florida,G0800770,43,12,430,Glades,0
365,Florida,G0800790,43,12,450,Gulf,0
366,Florida,G0800810,43,12,470,Hamilton,0
367,Florida,G0800830,43,12,490,Hardee,0
368,Florida,G0800850,43,12,510,Hendry,0
369,Florida,G0800870,43,12,530,Hernando,0
370,Florida,G0800890,43,12,550,Highlands,0
371,Florida,G0800910,43,12,570,Hillsborough,1
372,Florida,G0800930,43,12,590,Holmes,0
373,Florida,G0800950,43,12,610,Indian River,0
374,Florida,G0800970,43,12,630,Jackson,1
375,Florida,G0800990,43,12,650,Jefferson,0
376,Florida,G0801010,43,12,670,Lafayette,0
377,Florida,G0801070,43,12,690,Lake,0
378,Florida,G0801030,43,12,710,Lee,0
379,Florida,G0801050,43,12,730,Leon,0
380,Florida,G0801070,43,12,750,Levy,0
381,Florida,G0801090,43,12,770,Liberty,0
382,Florida,G0801110,43,12,790,Madison,1
383,Florida,G0801130,43,12,810,Manatee,0
384,Florida,G0801150,43,12,830,Marion,0
385,Florida,G0801170,43,12,850,Martin,0
386,Florida,G0801190,,12,86,Miami-Dade County,1
387,Florida,G0801210,43,12,870,Monroe,0
388,Florida,G0801230,43,12,890,Nassau,0
389,Florida,G0801250,43,12,910,Okaloosa,0
390,Florida,G0900010,43,12,930,Okeechobee,0
391,Florida,G0900030,43,12,950,Orange,1
392,Florida,G0900050,43,12,970,Osceola,0
393,Florida,G0900070,43,12,990,Palm Beach,1
394,Florida,G0900090,43,12,1010,Pasco,0
395,Florida,G0900110,43,12,1030,Pinellas,0
396,Florida,G0900130,43,12,1050,Polk,1
397,Florida,G0900150,43,12,1070,Putnam,0
398,Florida,G1000050,43,12,1130,Santa Rosa,1
399,Florida,G1100010,43,12,1150,Sarasota,0
400,Florida,G1200010,43,12,1170,Seminole,0
401,Florida,G1000010,43,12,1090,St Johns,0
402,Florida,G1000030,43,12,1110,St Lucie,0
403,Florida,G1200030,43,12,1190,Sumter,0
404,Florida,G1200050,43,12,1210,Suwannee,1
405,Florida,G1200070,43,12,1230,Taylor,0
406,Florida,G1200090,43,12,1250,Union,0
407,Florida,G1200110,43,12,1270,Volusia,0
408,Florida,G1200130,43,12,1290,Wakulla,0
409,Florida,G1200150,43,12,1310,Walton,0
410,Florida,G1200170,43,12,1330,Washington,0
411,Georgia,G1200190,44,13,10,Appling,0
412,Georgia,G1200210,44,13,30,Atkinson,0
413,Georgia,G1200230,44,13,50,Bacon,0
414,Georgia,G1200250,44,13,70,Baker,0
415,Georgia,G1200270,44,13,90,Baldwin,0
416,Georgia,G1200290,44,13,110,Banks,0
417,Georgia,G1200310,44,13,130,Barrow,0
418,Georgia,G1200330,44,13,150,Bartow,0
419,Georgia,G1200350,44,13,170,Ben Hill,0
420,Georgia,G1200370,44,13,190,Berrien,0
421,Georgia,G1200390,44,13,210,Bibb,1
422,Georgia,G1200410,44,13,230,Bleckley,0
423,Georgia,G1200430,44,13,250,Brantley,0
424,Georgia,G1200450,44,13,270,Brooks,0
425,Georgia,G1200470,44,13,290,Bryan,0
426,Georgia,G1200490,44,13,310,Bulloch,0
427,Georgia,G1200510,44,13,330,Burke,0
428,Georgia,G1200530,44,13,350,Butts,0
429,Georgia,G1200550,44,13,370,Calhoun,0
430,Georgia,G1200570,44,13,390,Camden,0
431,Georgia,G1200610,44,13,430,Candler,0
432,Georgia,G1200630,44,13,450,Carroll,0
433,Georgia,G1200650,44,13,470,Catoosa,0
434,Georgia,G1200670,44,13,490,Charlton,0
435,Georgia,G1200690,44,13,510,Chatham,0
436,Georgia,G1200710,44,13,530,Chattahoochee,0
437,Georgia,G1200730,44,13,550,Chattooga,0
438,Georgia,G1200750,44,13,570,Cherokee,0
439,Georgia,G1200770,44,13,590,Clarke,1
440,Georgia,G1200790,44,13,610,Clay,0
441,Georgia,G1200810,44,13,630,Clayton,0
442,Georgia,G1200830,44,13,650,Clinch,0
443,Georgia,G1200850,44,13,670,Cobb,0
444,Georgia,G1200860,44,13,690,Coffee,0
445,Georgia,G1200870,44,13,710,Colquitt,0
446,Georgia,G1200890,44,13,730,Columbia,0
447,Georgia,G1200910,44,13,750,Cook,0
448,Georgia,G1200930,44,13,770,Coweta,0
449,Georgia,G1200950,44,13,790,Crawford,0
450,Georgia,G1200970,44,13,810,Crisp,0
451,Georgia,G1200990,44,13,830,Dade,0
452,Georgia,G1201010,44,13,850,Dawson,0
453,Georgia,G1201030,44,13,870,Decatur,0
454,Georgia,G1201050,44,13,890,DeKalb,0
455,Georgia,G1201070,44,13,910,Dodge,0
456,Georgia,G1201090,44,13,930,Dooly,0
457,Georgia,G1201110,44,13,950,Dougherty,1
458,Georgia,G1201130,44,13,970,Douglas,0
459,Georgia,G1201150,44,13,990,Early,0
460,Georgia,G1201170,44,13,1010,Echols,0
461,Georgia,G1201190,44,13,1030,Effingham,0
462,Georgia,G1201210,44,13,1050,Elbert,0
463,Georgia,G1201230,44,13,1070,Emanuel,0
464,Georgia,G1201250,44,13,1090,Evans,0
465,Georgia,G1201270,44,13,1110,Fannin,0
466,Georgia,G1201290,44,13,1130,Fayette,0
467,Georgia,G1201310,44,13,1150,Floyd,0
468,Georgia,G1201330,44,13,1170,Forsyth,0
469,Georgia,G1300010,44,13,1190,Franklin,0
470,Georgia,G1300030,44,13,1210,Fulton,0
471,Georgia,G1300050,44,13,1230,Gilmer,0
472,Georgia,G1300070,44,13,1250,Glascock,0
473,Georgia,G1300090,44,13,1270,Glynn,1
474,Georgia,G1300110,44,13,1290,Gordon,0
475,Georgia,G1300130,44,13,1310,Grady,0
476,Georgia,G1300150,44,13,1330,Greene,0
477,Georgia,G1300170,44,13,1350,Gwinnett,0
478,Georgia,G1300190,44,13,1370,Habersham,0
479,Georgia,G1300210,44,13,1390,Hall,0
480,Georgia,G1300230,44,13,1410,Hancock,0
481,Georgia,G1300250,44,13,1430,Haralson,0
482,Georgia,G1300270,44,13,1450,Harris,0
483,Georgia,G1300290,44,13,1470,Hart,0
484,Georgia,G1300310,44,13,1490,Heard,0
485,Georgia,G1300330,44,13,1510,Henry,0
486,Georgia,G1300350,44,13,1530,Houston,1
487,Georgia,G1300370,44,13,1550,Irwin,0
488,Georgia,G1300390,44,13,1570,Jackson,0
489,Georgia,G1300395,44,13,1590,Jasper,0
490,Georgia,G1300430,44,13,1610,Jeff Davis,0
491,Georgia,G1300450,44,13,1630,Jefferson,0
492,Georgia,G1300470,44,13,1650,Jenkins,0
493,Georgia,G1300490,44,13,1670,Johnson,0
494,Georgia,G1300510,44,13,1690,Jones,0
495,Georgia,G1300530,44,13,1710,Lamar,0
496,Georgia,G1300550,44,13,1730,Lanier,0
497,Georgia,G1300570,44,13,1750,Laurens,0
498,Georgia,G1300590,44,13,1770,Lee,0
499,Georgia,G1300610,44,13,1790,Liberty,0
500,Georgia,G1300630,44,13,1810,Lincoln,0
501,Georgia,G1300650,44,13,1830,Long,0
502,Georgia,G1300670,44,13,1850,Lowndes,0
503,Georgia,G1300690,44,13,1870,Lumpkin,0
504,Georgia,G1300750,44,13,1930,Macon,0
505,Georgia,G1300770,44,13,1950,Madison,0
506,Georgia,G1300790,44,13,1970,Marion,0
507,Georgia,G1300710,44,13,1890,McDuffie,0
508,Georgia,G1300730,44,13,1910,McIntosh,0
509,Georgia,G1300810,44,13,1990,Meriwether,0
510,Georgia,G1300830,44,13,2010,Miller,0
511,Georgia,G1300850,44,13,2015,Milton,0
512,Georgia,G1300870,44,13,2050,Mitchell,1
513,Georgia,G1300890,44,13,2070,Monroe,0
514,Georgia,G1300910,44,13,2090,Montgomery,0
515,Georgia,G1300930,44,13,2110,Morgan,0
516,Georgia,G1300950,44,13,2130,Murray,0
517,Georgia,G1300970,44,13,2150,Muscogee,0
518,Georgia,G1300990,44,13,2170,Newton,0
519,Georgia,G1301010,44,13,2190,Oconee,0
520,Georgia,G1301030,44,13,2210,Oglethorpe,0
521,Georgia,G1301050,44,13,2230,Paulding,0
522,Georgia,G1301070,44,13,2250,Peach,1
523,Georgia,G1301090,44,13,2270,Pickens,0
524,Georgia,G1301110,44,13,2290,Pierce,0
525,Georgia,G1301130,44,13,2310,Pike,0
526,Georgia,G1301150,44,13,2330,Polk,1
527,Georgia,G1301170,44,13,2350,Pulaski,0
528,Georgia,G1301190,44,13,2370,Putnam,0
529,Georgia,G1301210,44,13,2390,Quitman,0
530,Georgia,G1301230,44,13,2410,Rabun,0
531,Georgia,G1301250,44,13,2430,Randolph,0
532,Georgia,G1301270,44,13,2450,Richmond,1
533,Georgia,G1301290,44,13,2470,Rockdale,0
534,Georgia,G1301310,44,13,2490,Schley,0
535,Georgia,G1301330,44,13,2510,Screven,0
536,Georgia,G1301350,44,13,2530,Seminole,0
537,Georgia,G1301370,44,13,2550,Spalding,0
538,Georgia,G1301390,44,13,2570,Stephens,0
539,Georgia,G1301410,44,13,2590,Stewart,0
540,Georgia,G1301430,44,13,2610,Sumter,0
541,Georgia,G1301450,44,13,2630,Talbot,0
