,STATE,GISJOIN,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,GR.SV2,GR.LRA2,GR.LRA3,MM.LRA1,EP.SV1,EP.LRA1,EP.SV2,EP.LRA2,EP.SV3,cty_percentage
84,Alaska,G0100590,2,122,Kenai Peninsula,1,1,1,1,0,0,0,0,0,0.0071930332062535
85,Alaska,G0100610,2,120,Kenai-Cook Inlet,1,1,1,1,0,0,0,0,0,0.03785248751658036
86,Alaska,G0100630,2,130,Ketchikan Gateway,1,1,1,1,0,0,0,0,0,0.0084398141425874
87,Alaska,G0100650,2,140,Kobuk,1,1,1,1,0,0,0,0,0,0.03785248751658036
88,Alaska,G0100670,2,150,Kodiak Island,1,1,1,1,0,0,0,0,0,0.0113469962932329
89,Alaska,G0100690,2,158,Kusilvak Census Area,1,1,1,1,0,0,0,0,0,0.03785248751658036
90,Alaska,G0100710,2,160,Kuskokwim,1,1,1,1,0,0,0,0,0,0.03785248751658036
91,Alaska,G0100730,2,164,Lake And Peninsula,1,1,1,1,0,0,0,0,0,0.03785248751658036
92,Alaska,G0100750,2,170,Matanuska-Susitna,1,1,1,1,0,0,0,0,0,0.0120132679194558
93,Alaska,G0100770,2,180,Nome,1,1,1,1,0,0,0,0,0,0.0055016808351096
94,Alaska,G0100790,2,185,North Slope,1,1,1,1,0,0,0,0,0,0.0138444201978285
95,Alaska,G0100810,2,188,Northwest Arctic,1,1,1,1,0,0,0,0,0,0.0103262221164971
96,Alaska,G0100830,2,190,Outer Ketchikan,1,1,1,1,0,0,0,0,0,0.03785248751658036
97,Alaska,G0100850,2,195,Petersburg Borough,1,1,1,1,0,0,0,0,0,0.03785248751658036
98,Alaska,G0100870,2,200,Prince Of Wales,1,1,1,1,0,0,0,0,0,0.03785248751658036
99,Alaska,G0100890,2,198,Prince of Wales-Hyder Census Area,1,1,1,1,0,0,0,0,0,0.03785248751658036
100,Alaska,G0100910,2,201,Prince Of Wales-Outer Ketchikan,1,1,1,1,0,0,0,0,0,0.03785248751658036
101,Alaska,G0100930,2,210,Seward,1,1,1,1,0,0,0,0,0,0.03785248751658036
102,Alaska,G0100950,2,220,Sitka,1,1,1,1,0,0,0,0,0,0.0082838088322409
103,Alaska,G0100970,2,230,Skagway Municipality,1,1,1,1,0,0,0,0,0,0.03785248751658036
104,Alaska,G0100990,2,232,Skagway-Hoonah-Angoon,1,1,1,1,0,0,0,0,0,0.03785248751658036
105,Alaska,G0101010,2,231,Skagway-Yakutat-Angoon,1,1,1,1,0,0,0,0,0,0.03785248751658036
106,Alaska,G0101030,2,240,Southeast Fairbanks,1,1,1,1,0,0,0,0,0,0.0169461120811309
107,Alaska,G0101050,2,250,Upper Yukon,1,1,1,1,0,0,0,0,0,0.03785248751658036
108,Alaska,G0101070,2,260,Valdez-Chitina-Whittier,1,1,1,1,0,0,0,0,0,0.03785248751658036
109,Alaska,G0101090,2,261,Valdez-Cordova,1,1,1,1,0,0,0,0,0,0.03785248751658036
110,Alaska,G0101110,2,270,Wade Hampton,1,1,1,1,0,0,0,0,0,0.03785248751658036
111,Alaska,G0101130,2,280,Wrangell City and Borough,1,1,1,1,0,0,0,0,0,0.03785248751658036
112,Alaska,G0101150,2,280,Wrangell-Petersburg,1,1,1,1,0,0,0,0,0,0.03785248751658036
113,Alaska,G0101170,2,282,Yakutat,1,1,1,1,0,0,0,0,0,0.0176897689768977
114,Alaska,G0101190,2,290,Yukon-Koyukuk,1,1,1,1,0,0,0,0,0,0.0059268153758524
115,Alaska Territory,G0100170,2,15,First Judicial Dist,1,1,1,1,0,0,0,0,0,0.031237567718999045
116,Alaska Territory,G0100190,2,35,Fourth Judicial Dist,1,1,1,1,0,0,0,0,0,0.031237567718999045
117,Alaska Territory,G0100210,2,75,Second Judicial Dist,1,1,1,1,0,0,0,0,0,0.031237567718999045
118,Alaska Territory,G0100230,2,115,Third Judicial Dist,1,1,1,1,0,0,0,0,0,0.031237567718999045
119,Arizona,G0101210,4,10,Apache,1,1,1,1,0,0,0,0,0,0.0045933083190046
120,Arizona,G0101230,4,30,Cochise,1,1,1,1,0,0,0,0,0,0.0458663484920679
121,Arizona,G0101250,4,50,Coconino,1,1,1,1,0,0,0,0,0,0.0141825572359376
122,Arizona,G0101270,4,70,Gila,1,1,1,1,0,0,0,0,0,0.0070082624052779
123,Arizona,G0101290,4,90,Graham,1,1,1,1,0,0,0,0,0,0.0173600205094423
124,Arizona,G0101310,4,110,Greenlee,1,1,1,1,0,0,0,0,0,0.018813156510223
125,Arizona,G0101330,4,120,La Paz,1,1,1,1,0,0,0,0,0,0.0108299635664812
126,Arizona,G0250015,4,130,Maricopa,1,1,1,0,1,1,1,1,0,0.0601970953977286
127,Arizona,G0250035,4,150,Mohave,1,1,1,1,0,0,0,0,0,0.0121046423885766
128,Arizona,G0250075,4,170,Navajo,1,1,1,1,0,0,0,0,0,0.0098293674995758
129,Arizona,G0250115,4,190,Pima,1,1,1,1,0,0,0,0,0,0.0413658428859453
130,Arizona,G0200100,4,210,Pinal,1,1,1,1,0,0,0,0,0,0.0510435560436622
131,Arizona,G0200130,4,230,Santa Cruz,1,1,1,1,0,0,0,0,0,0.0131427371980603
132,Arizona,G0200160,4,250,Yavapai,1,1,1,1,0,0,0,0,0,0.0083565739311339
133,Arizona,G0200200,4,270,Yuma,1,1,1,1,0,0,0,0,0,0.0253301523232133
134,Arkansas,G0200400,5,10,Arkansas,1,1,1,1,0,0,0,0,1,0.248663834452515
135,Arkansas,G0200500,5,30,Ashley,0,0,1,1,0,0,0,0,1,0.253487057303235
136,Arkansas,G0200600,5,50,Baxter,0,0,1,1,0,0,0,0,0,0.0034684613174124
137,Arkansas,G0200620,5,70,Benton,0,0,1,1,0,0,0,0,0,0.0216849004262315
138,Arkansas,G0200630,5,90,Boone,0,0,1,1,0,0,0,0,0,0.0471143183548752
139,Arkansas,G0200660,5,110,Bradley,0,0,1,1,0,0,0,0,0,0.070836563631884
140,Arkansas,G0200800,5,130,Calhoun,0,0,1,1,0,0,0,0,1,0.164469343539617
141,Arkansas,G0200680,5,150,Carroll,0,0,1,1,0,0,0,0,0,0.0682135955466148
142,Arkansas,G0200700,5,170,Chicot,1,1,1,1,0,0,0,0,0,0.546318035469834
143,Arkansas,G0200900,5,190,Clark,0,0,1,1,0,0,0,0,1,0.101124414366053
144,Arkansas,G0201000,5,210,Clay,1,1,1,1,0,0,0,0,0,0.0832851138622971
145,Arkansas,G0201050,5,230,Cleburne,1,1,1,1,0,0,0,0,0,0.0146379553961709
146,Arkansas,G0201100,5,250,Cleveland,1,1,1,1,0,0,0,0,0,0.0921898659128149
147,Arkansas,G0201220,5,270,Columbia,0,0,1,1,0,0,0,0,1,0.109385870590899
148,Arkansas,G0201200,5,290,Conway,1,1,1,1,0,0,0,0,0,0.113645291463807
149,Arkansas,G0201300,5,310,Craighead,1,1,1,1,0,0,0,0,0,0.152206002432176
150,Arkansas,G0201400,5,330,Crawford,0,0,1,1,0,0,0,0,0,0.0247226413150831
151,Arkansas,G0201500,5,350,Crittenden,1,1,1,1,0,0,1,1,0,0.449739087587215
152,Arkansas,G0201580,5,370,Cross,1,1,1,1,0,0,0,0,0,0.230073084110321
153,Arkansas,G0201600,5,390,Dallas,1,1,1,1,0,0,0,0,0,0.233468991720899
154,Arkansas,G0201640,5,410,Desha,1,1,1,1,0,0,0,0,1,0.481456778801395
155,Arkansas,G0201700,5,430,Drew,1,1,1,1,0,0,0,0,0,0.280977257232128
156,Arkansas,G0201800,5,450,Faulkner,1,1,1,1,0,0,0,0,0,0.11559679500563
157,Arkansas,G0201850,5,470,Franklin,0,0,1,1,0,0,0,0,0,0.152922460789385
158,Arkansas,G0201880,5,490,Fulton,1,1,1,1,0,0,0,0,0,0.381317374579769
159,Arkansas,G0201900,5,510,Garland,0,0,1,1,0,0,0,0,0,0.0853577616709743
160,Arkansas,G0201950,5,530,Grant,1,1,1,1,0,0,0,0,0,0.0263424900800235
161,Arkansas,G0202000,5,550,Greene,1,1,1,1,0,0,0,0,0,0.0679647775885685
162,Arkansas,G0201980,5,570,Hempstead,0,0,1,1,0,0,0,0,0,0.303560747734311
163,Arkansas,G0202010,5,590,Hot Spring,0,0,1,1,0,0,0,0,0,0.112579688253094
164,Arkansas,G0202100,5,610,Howard,0,0,1,1,0,0,0,0,1,0.152997722961027
165,Arkansas,G0202200,5,630,Independence,1,1,1,1,0,0,0,0,0,0.0223586048445134
166,Arkansas,G0202300,5,650,Izard,1,1,1,1,0,0,0,0,0,0.018075025163872
167,Arkansas,G0202320,5,670,Jackson,1,1,1,1,0,0,0,0,0,0.14354854462938
168,Arkansas,G0202310,5,690,Jefferson,1,1,1,0,0,0,1,0,1,0.19649512267799
169,Arkansas,G0202400,5,710,Johnson,0,0,1,1,0,0,0,0,0,0.0460664062524472
170,Arkansas,G0202500,5,730,Lafayette,0,0,1,1,0,0,0,0,0,0.145367755196059
171,Arkansas,G0202600,5,750,Lawrence,1,1,1,1,0,0,0,0,0,0.0398892683246368
172,Arkansas,G0202610,5,770,Lee,1,1,1,1,0,0,0,0,0,0.139858960541653
173,Arkansas,G0202700,5,790,Lincoln,1,1,1,1,0,0,0,0,0,0.048457077539465
174,Arkansas,G0202800,5,810,Little River,0,0,1,1,0,0,0,0,1,0.197948683904803
175,Arkansas,G0202800,5,830,Logan,0,0,1,1,0,0,0,0,0,0.0468978348937459
176,Arkansas,G0202820,5,850,Lonoke,1,1,1,1,0,0,0,0,0,0.0616632935365876
177,Arkansas,G0202900,5,870,Madison,0,0,1,1,0,0,0,0,0,0.160081349438803
178,Arkansas,G0400010,5,890,Marion,0,0,1,1,0,0,0,0,0,0.179172836767939
179,Arkansas,G0400030,5,910,Miller,0,0,1,1,0,0,0,0,0,0.171288154403111
180,Arkansas,G0400050,5,930,Mississippi,1,1,1,1,0,0,1,0,1,0.327488362822001
181,Arkansas,G0400070,5,950,Monroe,1,1,1,1,0,0,0,0,0,0.123488731699434
182,Arkansas,G0400090,5,970,Montgomery,0,0,1,1,0,0,0,0,0,0.165124277322756
183,Arkansas,G0400110,5,990,Nevada,0,0,1,1,0,0,0,0,0,0.0294621780336066
184,Arkansas,G0400120,5,1010,Newton,0,0,1,1,0,0,0,0,0,0.260140159060287
185,Arkansas,G0400130,5,1030,Ouachita,0,0,1,1,0,0,0,0,0,0.401888140820702
186,Arkansas,G0400150,5,1050,Perry,1,1,1,1,0,0,0,0,0,0.0611730997777504
187,Arkansas,G0400170,5,1070,Phillips,1,1,1,1,0,0,0,1,0,0.367381056373029
188,Arkansas,G0400190,5,1090,Pike,0,0,1,1,0,0,0,0,0,0.141876366637961
189,Arkansas,G0400210,5,1110,Poinsett,1,1,1,1,0,0,0,0,0,0.079569907425111
190,Arkansas,G0400230,5,1130,Polk,0,0,1,1,0,0,0,0,0,0.103000815290063
191,Arkansas,G0400250,5,1150,Pope,1,1,1,1,0,0,0,0,0,0.0296001236381805
192,Arkansas,G0400270,5,1170,Prairie,1,1,1,1,0,0,0,0,0,0.104065789124258
193,Arkansas,G0500010,5,1190,Pulaski,1,1,1,0,1,1,1,1,1,0.276627180628186
194,Arkansas,G0500030,5,1210,Randolph,1,1,1,1,0,0,0,0,0,0.0779888220717765
195,Arkansas,G0500070,5,1250,Saline,1,1,1,1,0,0,0,0,0,0.0539124356661713
196,Arkansas,G0500090,5,1270,Scott,0,0,1,1,0,0,0,0,0,0.0727040677782002
197,Arkansas,G0500110,5,1290,Searcy,0,0,1,1,0,0,0,0,0,0.0042056466837269
198,Arkansas,G0500130,5,1310,Sebastian,0,0,1,1,0,0,0,0,0,0.0680908121804491
199,Arkansas,G0500150,5,1330,Sevier,0,0,1,1,0,0,0,0,0,0.0146466933744145
200,Arkansas,G0500170,5,1350,Sharp,1,1,1,1,0,0,0,0,0,0.0082219488595753
201,Arkansas,G0500050,5,1230,St Francis,1,1,1,1,0,0,0,0,0,0.1387237658337718
202,Arkansas,G0500190,5,1370,Stone,1,1,1,1,0,0,0,0,0,0.0587705579726169
203,Arkansas,G0500210,5,1390,Union,0,0,1,1,0,0,1,1,1,0.17327923138397
204,Arkansas,G0500230,5,1410,Van Buren,1,1,1,1,0,0,0,0,0,0.0303809310487021
205,Arkansas,G0500250,5,1430,Washington,0,0,1,1,0,0,0,0,0,0.0539828171013083
206,Arkansas,G0500270,5,1450,White,1,1,1,1,0,0,0,0,0,0.0275716174611387
207,Arkansas,G0500290,5,1470,Woodruff,1,1,1,1,0,0,0,0,0,0.268284833706725
208,Arkansas,G0500310,5,1490,Yell,1,1,1,1,0,0,0,0,0,0.0199747857365919
209,California,G0500330,6,10,Alameda,0,0,0,1,1,1,1,1,0,0.117814141488105
210,California,G0500350,6,30,Alpine,1,1,0,1,0,0,0,0,0,0.002867708097502
211,California,G0500370,6,50,Amador,1,1,0,1,0,0,0,0,0,0.0243906166091083
212,California,G0500390,6,70,Butte,1,1,0,1,0,0,0,0,0,0.0170941445154127
213,California,G0500410,6,90,Calaveras,1,1,0,1,0,0,0,0,0,0.0096022627223102
214,California,G0500430,6,110,Colusa,1,1,0,1,0,0,0,0,0,0.0126797334684176
215,California,G0500450,6,130,Contra Costa,0,0,0,1,1,1,1,1,0,0.0955617606242543
216,California,G0500470,6,150,Del Norte,0,0,0,1,0,0,0,0,0,0.0354355002006913
217,California,G0500490,6,170,El Dorado,1,1,0,1,0,0,0,0,0,0.0096921794215539
218,California,G0500510,6,190,Fresno,1,1,0,1,1,1,0,0,0,0.0589025017161503
219,California,G0500530,6,210,Glenn,1,1,0,1,0,0,0,0,0,0.0123883324108296
220,California,G0500550,6,230,Humboldt,0,0,0,1,0,0,0,0,0,0.0127962790180651
221,California,G0500570,6,250,Imperial,0,0,0,1,0,0,0,0,0,0.0346822454545667
222,California,G0500590,6,270,Inyo,1,1,0,1,0,0,0,0,0,0.0096844736019993
223,California,G0500610,6,290,Kern,1,1,0,1,0,0,0,0,0,0.0629441482465691
224,California,G0500630,6,310,Kings,1,1,0,1,0,0,0,0,0,0.331998290935082
225,California,G0500650,6,330,Lake,0,0,0,1,0,0,0,0,0,0.118904118238553
226,California,G0500670,6,350,Lassen,1,1,0,1,0,0,0,0,0,0.0848795572916667
227,California,G0500690,6,370,Los Angeles,0,1,0,0,1,1,1,1,0,0.091423480059413
228,California,G0500710,6,390,Madera,1,1,0,1,0,0,0,0,0,0.0420379975356048
229,California,G0500730,6,410,Marin,0,0,0,1,0,0,0,0,0,0.0284398892152662
230,California,G0500750,6,430,Mariposa,1,1,0,1,0,0,0,0,0,0.0107080357565152
231,California,G0500770,6,450,Mendocino,0,0,0,1,0,0,0,0,0,0.010105453196299
232,California,G0500790,6,470,Merced,1,1,0,1,0,0,0,0,0,0.0410874188493396
233,California,G0500810,6,490,Modoc,1,1,0,1,0,0,0,0,0,0.0120445427755694
234,California,G0500830,6,510,Mono,1,1,0,1,0,0,0,0,0,0.0078772247483421
235,California,G0500850,6,530,Monterey,0,0,0,1,0,0,1,1,0,0.0351536739528392
236,California,G0500870,6,550,Napa,0,0,0,1,0,0,0,0,0,0.023190279602741
237,California,G0500890,6,570,Nevada,1,1,0,1,0,0,0,0,0,0.0294621780336066
238,California,G0500910,6,590,Orange,0,1,0,1,0,0,0,0,0,0.0847506274628565
239,California,G0500930,6,610,Placer,1,1,0,1,0,0,0,0,0,0.0174635082726929
240,California,G0500950,6,630,Plumas,1,1,0,1,0,0,0,0,0,0.0099783954810182
241,California,G0500970,6,650,Riverside,0,1,0,1,0,0,1,1,0,0.0716220036427299
242,California,G0500990,6,670,Sacramento,1,1,0,1,1,1,1,1,0,0.108629192136292
