,STATE,GISJOIN,STATEICP,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,GR.LRA3
456,Georgia,G1201090,44.0,13,930,Dooly,1.0
457,Georgia,G1201110,44.0,13,950,Dougherty,1.0
458,Georgia,G1201130,44.0,13,970,Douglas,1.0
459,Georgia,G1201150,44.0,13,990,Early,1.0
460,Georgia,G1201170,44.0,13,1010,Echols,1.0
461,Georgia,G1201190,44.0,13,1030,Effingham,1.0
462,Georgia,G1201210,44.0,13,1050,Elbert,1.0
463,Georgia,G1201230,44.0,13,1070,Emanuel,1.0
464,Georgia,G1201250,44.0,13,1090,Evans,1.0
465,Georgia,G1201270,44.0,13,1110,Fannin,1.0
466,Georgia,G1201290,44.0,13,1130,Fayette,1.0
467,Georgia,G1201310,44.0,13,1150,Floyd,1.0
468,Georgia,G1201330,44.0,13,1170,Forsyth,1.0
