STATE,ALLCOUNTIES,Time 1,Time 2,Time 3
California,Alameda,Yes,Yes,Naur
California,Alpine,Naur,Yes,Naur
California,Amador,Naur,Yes,Naur
California,Butte,Naur,Yes,Naur
California,Calaveras,Naur,Yes,Naur
California,Colusa,Naur,Yes,Naur
California,Contra Costa,Yes,Yes,Naur
California,Del Norte,Naur,Naur,Naur
California,El Dorado,Naur,Yes,Naur
California,Fresno,Yes,Yes,Naur
California,Glenn,Naur,Yes,Naur
California,Humboldt,Naur,Naur,Naur
California,Imperial,Naur,Naur,Naur
California,Inyo,Naur,Yes,Naur
California,Kern,Naur,Yes,Naur
California,Kings,Naur,Yes,Naur
California,Lake,Naur,Naur,Naur
California,Lassen,Naur,Yes,Naur
California,Los Angeles,Yes,Yes,Naur
California,Madera,Naur,Yes,Naur
California,Marin,Naur,Naur,Naur
California,Mariposa,Naur,Yes,Naur
California,Mendocino,Naur,Naur,Naur
California,Merced,Naur,Yes,Naur
California,Modoc,Naur,Yes,Naur
California,Mono,Naur,Yes,Naur
California,Monterey,Naur,Yes,Naur
California,Napa,Naur,Naur,Naur
California,Nevada,Naur,Yes,Naur
California,Orange,Naur,Naur,Naur
California,Placer,Naur,Yes,Naur
California,Plumas,Naur,Yes,Naur
California,Riverside,Naur,Yes,Naur
California,Sacramento,Yes,Yes,Naur
California,San Benito,Naur,Naur,Naur
California,San Bernardino,Naur,Yes,Naur
California,San Diego,Yes,Yes,Naur
California,San Francisco,Naur,Naur,Naur
California,San Joaquin,Yes,Yes,Naur
California,San Luis Obispo,Naur,Naur,Naur
California,San Mateo,Yes,Naur,Naur
California,Santa Barbara,Naur,Naur,Naur
California,Santa Clara,Yes,Naur,Naur
California,Santa Cruz,Naur,Naur,Naur
California,Shasta,Naur,Yes,Naur
California,Sierra,Naur,Yes,Naur
California,Siskiyou,Naur,Yes,Naur
California,Solano,Naur,Yes,Yes
California,Sonoma,Naur,Naur,Naur
California,Stanislaus,Naur,Yes,Naur
California,Sutter,Naur,Yes,Naur
California,Tehama,Naur,Yes,Naur
California,Trinity,Naur,Yes,Naur
California,Tulare,Naur,Yes,Naur
California,Tuolumne,Naur,Yes,Naur
California,Ventura,Naur,Naur,Naur
California,Yolo,Yes,Yes,Naur
California,Yuba,Naur,Yes,Naur
Colorado,Adams,Yes,Yes,Naur
Colorado,Alamosa,Naur,Yes,Naur
Colorado,Arapahoe,Yes,Yes,Naur
Colorado,Archuleta,Naur,Yes,Naur
Colorado,Baca,Naur,Yes,Naur
Colorado,Bent,Naur,Yes,Naur
Colorado,Boulder,Naur,Yes,Naur
Colorado,Broomfield County,Naur,Yes,Naur
Colorado,Chaffee,Naur,Yes,Naur
Colorado,Cheyenne,Naur,Yes,Naur
Colorado,Clear Creek,Naur,Yes,Naur
Colorado,Conejos,Naur,Yes,Naur
Colorado,Costilla,Naur,Yes,Naur
Colorado,Crowley,Naur,Yes,Naur
Colorado,Custer,Naur,Yes,Naur
Colorado,Delta,Naur,Yes,Naur
Colorado,Denver,Naur,Yes,Naur
Colorado,Dolores,Naur,Yes,Naur
Colorado,Douglas,Naur,Yes,Naur
Colorado,Eagle,Naur,Yes,Naur
Colorado,El Paso,Naur,Yes,Naur
Colorado,Elbert,Naur,Yes,Naur
Colorado,Fremont,Naur,Yes,Naur
Colorado,Garfield,Naur,Yes,Naur
Colorado,Gilpin,Naur,Yes,Naur
Colorado,Grand,Naur,Yes,Naur
Colorado,Gunnison,Naur,Yes,Naur
Colorado,Hinsdale,Naur,Yes,Naur
Colorado,Huerfano,Naur,Yes,Naur
Colorado,Jackson,Naur,Yes,Naur
Colorado,Jefferson,Yes,Yes,Naur
Colorado,Kiowa,Naur,Yes,Naur
Colorado,Kit Carson,Naur,Yes,Naur
Colorado,La Plata,Naur,Yes,Naur
Colorado,Lake,Naur,Yes,Naur
Colorado,Larimer,Naur,Yes,Naur
Colorado,Las Animas,Naur,Yes,Naur
Colorado,Lincoln,Naur,Yes,Naur
Colorado,Logan,Naur,Yes,Naur
Colorado,Mesa,Naur,Yes,Naur
Colorado,Mineral,Naur,Yes,Naur
Colorado,Moffat,Naur,Yes,Naur
Colorado,Montezuma,Naur,Yes,Naur
Colorado,Montrose,Naur,Yes,Naur
Colorado,Morgan,Naur,Yes,Naur
Colorado,Otero,Naur,Yes,Naur
Colorado,Ouray,Naur,Yes,Naur
Colorado,Park,Naur,Yes,Naur
Colorado,Phillips,Naur,Yes,Naur
Colorado,Pitkin,Naur,Yes,Naur
Colorado,Prowers,Naur,Yes,Naur
Colorado,Pueblo,Yes,Yes,Naur
Colorado,Rio Blanco,Naur,Yes,Naur
Colorado,Rio Grande,Naur,Yes,Naur
Colorado,Routt County,Naur,Yes,Naur
Colorado,Saguache,Naur,Yes,Naur
Colorado,San Juan,Naur,Yes,Naur
Colorado,San Miguel,Naur,Yes,Naur
Colorado,Sedgwick,Naur,Yes,Naur
Colorado,Summit,Naur,Yes,Naur
Colorado,Teller,Naur,Yes,Naur
Colorado,Washington,Naur,Yes,Naur
Colorado,Weld,Naur,Yes,Naur
Colorado,Yuma,Naur,Yes,Naur
Connecticut,Fairfield,Yes,Yes,Naur
Connecticut,Hartford,Yes,Yes,Yes
Connecticut,Litchfield,Yes,Yes,Naur
Connecticut,Middlesex,Naur,Yes,Naur
Connecticut,New Haven,Yes,Yes,Yes
Connecticut,New London,Naur,Yes,Naur
Connecticut,Tolland,Naur,Yes,Naur
Connecticut,Windham,Naur,Yes,Naur
Delaware,Kent,Naur,Yes,Yes
Delaware,New Castle,Naur,Yes,Yes
Delaware,Sussex,Naur,Yes,Naur
District Of Columbia,District Of Columbia,Naur,Yes,Yes
Florida,Alachua,Naur,Yes,Yes
Florida,Baker,Naur,Yes,Yes
Florida,Bay,Naur,Yes,Yes
Florida,Bradford,Naur,Yes,Yes
Florida,Brevard,Naur,Yes,Yes
Florida,Broward,Naur,Yes,Yes
Florida,Calhoun,Naur,Yes,Yes
Florida,Charlotte,Naur,Yes,Yes
Florida,Citrus,Naur,Yes,Yes
Florida,Clay,Naur,Yes,Yes
Florida,Collier,Naur,Yes,Yes
Florida,Columbia,Naur,Yes,Yes
Florida,Dade,Naur,Yes,Yes
Florida,DeSoto,Naur,Yes,Yes
Florida,Dixie,Naur,Yes,Yes
Florida,Duval,Yes,Yes,Yes
Florida,Escambia,Naur,Yes,Yes
Florida,Flagler,Naur,Yes,Yes
Florida,Franklin,Naur,Yes,Yes
Florida,Gadsden,Naur,Yes,Yes
Florida,Gilchrist,Naur,Yes,Yes
Florida,Glades,Naur,Yes,Yes
Florida,Gulf,Naur,Yes,Yes
